sep=;
"TIPO DE INVESTIMENTO";"DESCRI��O";"VENCIMENTO";"TAXA NEGOCIADA";"QUANTIDADE";"VALOR APLICADO";"VALOR BRUTO";"VALOR L�QUIDO";"RENDIMENTO R$";"RENDIMENTO %"
"CDB";"BANCO MASTER";05/10/2023;"IPC-A + 8,21%";1000,0;R$ 1.000,00;R$ 1.110,93;R$ 1.088,74;R$ 110,93;11,09%
"CDB";"BANCO PAN";05/10/2023;"IPC-A + 8,60%";1,0;R$ 1.000,00;R$ 1.114,00;R$ 1.091,20;R$ 114,00;11,40%
"CDB";"BANCO MASTER";05/07/2024;"IPC-A + 8,09%";1000,0;R$ 990,04;R$ 1.096,45;R$ 1.075,17;R$ 106,41;10,74%
"BDR";"AMZO34";;"";5,0;;R$ 161,05;;R$ 0,00;0,00%
"FII";"BCFF11";;"";1,0;;R$ 71,81;;R$ 0,00;0,00%
"FII";"BRCO11";;"";1,0;;R$ 117,98;;R$ 0,00;0,00%
"AÇÃO";"CPFE3";;"";10,0;;R$ 352,90;;R$ 0,00;0,00%
"FII";"HFOF11";;"";1,0;;R$ 79,70;;R$ 0,00;0,00%
"FII";"HGLG11";;"";1,0;;R$ 164,80;;R$ 0,00;0,00%
"FII";"HSML11";;"";1,0;;R$ 92,12;;R$ 0,00;0,00%
"AÇÃO";"ITSA4";;"";22,0;;R$ 212,08;;R$ 0,00;0,00%
"FII";"KNCR11";;"";3,0;;R$ 296,94;;R$ 0,00;0,00%
"BDR";"M1TA34";;"";2,0;;R$ 105,98;;R$ 0,00;0,00%
"FII";"MXRF11";;"";10,0;;R$ 106,50;;R$ 0,00;0,00%
"AÇÃO";"PETR4";;"";3,0;;R$ 87,09;;R$ 0,00;0,00%
"ETF";"SMAL11";;"";2,0;;R$ 215,58;;R$ 0,00;0,00%
"Renda Variável - Outros";"TRBL11";;"";1,0;;R$ 100,00;;R$ 0,00;0,00%
"BDR";"TSLA34";;"";1,0;;R$ 42,00;;R$ 0,00;0,00%
"FII";"VISC11";;"";1,0;;R$ 120,11;;R$ 0,00;0,00%
"FII";"XPLG11";;"";1,0;;R$ 114,00;;R$ 0,00;0,00%
